generation,N_shifts,logPrior,logLik,eventRate,acceptRate
0,0,0.527593,-785.278,1.42857,1
1000,0,-0.245158,-584.614,0.0470527,0.237762
2000,1,-0.542204,-574.503,1.83448,0.27
3000,1,-1.59993,-571.002,1.88996,0.435
4000,5,-1.55696,-565.486,1.39607,0.411
5000,4,-1.11497,-553.479,1.976,0.3406
6000,1,-3.51122,-555.857,0.369396,0.373
7000,2,-5.66326,-556.534,0.752264,0.321097
8000,1,-2.32679,-554.266,1.2132,0.2755
9000,1,-1.10048,-556.299,1.07412,0.313
10000,3,0.0945106,-556.47,2.20551,0.328267
11000,3,-5.22907,-547.876,4.96098,0.322
12000,4,-2.04179,-546.508,3.98593,0.356
13000,6,0.678165,-542.59,3.58697,0.429
14000,2,-0.408948,-553.03,1.18043,0.353111
15000,5,0.00400706,-548.082,2.9093,0.379667
16000,6,2.32632,-550.858,3.15423,0.412
17000,3,-2.67127,-550.863,4.14124,0.379
18000,4,0.00748637,-546.888,2.35375,0.374
19000,4,-1.36132,-547.441,1.60219,0.444
20000,2,-2.41163,-558.297,2.00146,0.344769
21000,6,-0.537745,-553.624,2.13579,0.4115
22000,4,-0.0937657,-543.047,3.74669,0.435
23000,4,0.506119,-545.384,4.07228,0.4318
24000,5,0.377389,-551.874,3.2074,0.412
25000,2,-3.31739,-557.009,1.87058,0.3474
26000,1,-3.67258,-555.939,0.1381,0.28
27000,2,-1.95577,-554.334,0.514263,0.324
28000,4,-0.525428,-545.727,1.88845,0.421
29000,2,-4.63019,-553.235,1.03066,0.3305
30000,2,-4.27029,-548.196,0.527889,0.31
31000,4,-1.89977,-546.078,3.80826,0.403429
32000,3,-5.64912,-544.308,7.0785,0.396
33000,6,-7.36356,-543.788,4.84822,0.428
34000,5,-4.9266,-541.312,1.10187,0.392
35000,5,-0.673022,-543.63,3.78499,0.313
36000,3,-5.10847,-539.595,2.83272,0.3883
37000,7,-8.91226,-540.414,9.00844,0.410111
38000,4,-2.63686,-545.625,4.13516,0.384333
39000,3,-1.86689,-542.109,1.45142,0.355
40000,4,-1.22583,-543.208,1.85012,0.3625
41000,3,-3.33794,-543.9,2.7602,0.372
42000,3,-6.78556,-553.955,1.32912,0.285
43000,2,-4.10671,-550.737,0.37765,0.332
44000,3,-6.95966,-546.225,1.2668,0.338
45000,4,-4.45663,-537.014,2.11213,0.41025
46000,4,-5.71412,-546.265,2.48356,0.403667
47000,3,-5.83809,-544.994,1.32048,0.407
48000,3,-4.96469,-549.059,2.26532,0.3475
49000,5,-6.82546,-545.935,5.63053,0.405
50000,5,-0.299601,-542.8,2.95288,0.399
51000,6,-0.523889,-545.687,3.65932,0.454
52000,2,-6.30292,-548.359,1.20872,0.343692
53000,2,-2.96233,-549.588,1.2621,0.382667
54000,2,-0.768619,-550.206,2.04968,0.401
55000,4,0.474831,-546.847,3.687,0.406
56000,4,2.00141,-547.527,0.9593,0.442
57000,5,-1.03169,-544.064,3.87294,0.438
58000,2,-1.56401,-552.825,1.95441,0.414857
59000,4,-7.93254,-541.032,2.71462,0.357091
